"RESOLUTION_USER_NAME","ALARM_LEVEL","ALARM_LEVEL_TEXT","ALERT_RESOLUTION_STATUS","ALERT_RESOLUTION_CODE_TEXT","RESOLUTION_TEXT","ALERT_BLOCKED","ALERT_LOCAL_DTTM","RULE_NAME","RULE_ACTION_TYPE","ALERT_USER_NAME","OBFUSCATED_USER_NAME","ALERT_MACHINE_NAME","OBFUSCATED_MACHINE_NAME","USER_RESPONSE","PROCESS_NAME","EVENT_TYPE","EVENT_NAME","MAIL_SUBJECT","SENDER_EMAIL_ADDRESS","BLOCK_CODE","BLOCK_CODE_NAME","SURVEY_SELECTION","IS_EXPEDITED","VALUE_STATUS","VALUE_STATUS_TEXT","SCANS","POSITIVE_SCANS","POSITIVE_SCANS_PERCENT","HAS_CUSTOMDATA","EVENT_DISPLAY","IS_NET_DEVICE","BYTES_READ","BYTES_WRITTEN","PROTOCOL_TYPE","LOCAL_PORT","REMOTE_PORT","DNS_HOSTNAME","NETWORK_ADDRESS","DEST_REMOVABLE","DEST_DRIVE_TYPE","DEST_FILE_NAME","DEST_FILE_DIRECTORY","SRC_DRIVE_TYPE","SRC_FILE_NAME","SRC_FILE_DIRECTORY","PRINTER_NAME","PRINTER_JOBNAME","SRC_DRIVE_NAME","DEST_DRIVE_NAME","PROTOCOL_NAME","OUTBOUND_NAME","EVENT_SUBTYPE","FILE_SIZE","FILE_SIZE_KB","RECIPIENT_EMAIL_ADDRESS","RECIPIENT_TYPE","RECIPIENT_TYPE_NAME","SRC_FILE_ENCRYPTION","SRC_ENCRYPTION_NAME","DEST_FILE_ENCRYPTION","DEST_ENCRYPTION_NAME","HAS_SRC_CLASSIFICATION","HAS_DEST_CLASSIFICATION","URL_PATH","SRC_NETWORK_ADDRESS","SRC_DNS_HOSTNAME","ADE_OBJECT_TYPE","DR_PRODUCT_TYPE","DR_PRODUCT_NAME","DR_EVENT_TYPE","DR_EVENT_NAME","DR_USER_NAME","DR_SERVER_NAME","WAS_SRC_FILE_CAPTURED","WAS_DEST_FILE_CAPTURED","WAS_SCREEN_CAPTURED","WAS_PKI_AUTH","GID","EMAIL_ADDRESS","WAS_SMIME_ENCRYPTED","WAS_SMIME_SIGNED","DEVICE_TYPE","REG_SRC_PATH","REG_DEST_PATH","REG_VALUE_TYPE","REG_VALUE","REG_VALUE_NAME","REG_EVENT_NAME","HOOKED_MODULE_NAME","HOOKED_FUNCTION_NAME","HOOKED_OWNER_MODULE","HOOKED_ADDRESS","WAS_DLL_LOADED_RT","WAS_DLL_LOADED_AI","WAS_DLL_LOADED_UI","WAS_DLL_LOADED_RF","DNS_QUESTION","SRC_CLASS_POLICIES","DEST_CLASS_POLICIES","SRC_CLASS_RULES","DEST_CLASS_RULES","SRC_CLASS_TAGS","DEST_CLASS_TAGS","HAS_SRC_SAMPLE_MATCH","HAS_DEST_SAMPLE_MATCH"
"","1","Informational","False","","","False","2026-06-04 오후 7:10:51","DLP2250-D-DNS queries for Generative AI sites","1","KWTEST\whdud","User75718350","KWTEST","Mach4263542","","msedge.exe","56","Network Operation Ex","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","0","0","8","63995","53","dns.google","8.8.8.8","False","7","","","7","","","","","None","None","DNS","Outbound","6","0","0 KB","","","","","","","","0","0","","172.16.1.17","","","","","6","Delete","","","False","False","0","False","","","False","False","","","","","","Query Value","","","","","","False","False","False","False","dlptest.com","","","","","","","False","False"
"","1","Informational","False","","","False","2026-06-04 오후 7:10:49","DLP2252-D-Monitor Netops to Generative AI sites","1","KWTEST\whdud","User75718350","KWTEST","Mach4263542","","msedge.exe","4","Network Operation","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","0","0","7","62704","443","dlptest.com","35.209.95.242","False","7","","","7","","","","","None","None","HTTP","Outbound","","0","0 KB","","","","","","","","0","0","http://dlptest.com/https-post/?","127.0.0.1","","","","","","","","","False","False","0","False","","","False","False","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"","3","Medium","False","","","False","2026-06-04 오후 7:10:45","DLP2253-D-NTU to Generative AI sites","1","KWTEST\whdud","User75718350","KWTEST","Mach4263542","","msedge.exe","3","Network Transfer Upload","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","84","84","7","62704","443","dlptest.com","35.209.95.242","False","4","testtest.txt","https://dlptest.com/","3","testtest.txt","c:\users\whdud\downloads\","","testtest.txt","Fixed","Remote","HTTP","Outbound","","84","1 KB","","","","0","","0","","0","0","","127.0.0.1","","","","","","","","","False","False","0","False","","","False","False","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"","1","Informational","False","","","False","2026-06-04 오후 7:10:44","DLP2252-D-Monitor Netops to Generative AI sites","1","KWTEST\whdud","User75718350","KWTEST","Mach4263542","","msedge.exe","4","Network Operation","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","0","0","7","62704","443","dlptest.com","35.209.95.242","False","7","","","7","","","","","None","None","HTTP","Outbound","","0","0 KB","","","","","","","","0","0","http://dlptest.com/wp-admin/admin-ajax.php?action=wp_dark_mode_update_visitor&_wpnonce=6429b060c2","127.0.0.1","","","","","","","","","False","False","0","False","","","False","False","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"","1","Informational","False","","","False","2026-06-04 오후 7:10:24","DLP2252-D-Monitor Netops to Generative AI sites","1","KWTEST\whdud","User75718350","KWTEST","Mach4263542","","msedge.exe","4","Network Operation","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","0","0","7","62704","443","dlptest.com","35.209.95.242","False","7","","","7","","","","","None","None","HTTP","Outbound","","0","0 KB","","","","","","","","0","0","http://dlptest.com/?","127.0.0.1","","","","","","","","","False","False","0","False","","","False","False","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"","1","Informational","False","","","False","2026-06-04 오후 7:09:50","DLP2252-D-Monitor Netops to Generative AI sites","1","KWTEST\whdud","User75718350","KWTEST","Mach4263542","","msedge.exe","4","Network Operation","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","0","0","7","60382","443","chatgpt.com","172.64.155.209","False","7","","","7","","","","","None","None","HTTP","Outbound","","0","0 KB","","","","","","","","0","0","http://chatgpt.com/backend-api/sentinel/ping?","127.0.0.1","","","","","","","","","False","False","0","False","","","False","False","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"","1","Informational","False","","","False","2026-06-04 오후 7:09:50","DLP2250-D-DNS queries for Generative AI sites","1","KWTEST\whdud","User75718350","KWTEST","Mach4263542","","msedge.exe","56","Network Operation Ex","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","0","0","8","58811","53","dns.google","8.8.8.8","False","7","","","7","","","","","None","None","DNS","Outbound","6","0","0 KB","","","","","","","","0","0","","172.16.1.17","","","","","6","Delete","","","False","False","0","False","","","False","False","","","","","","Query Value","","","","","","False","False","False","False","chatgpt.com","","","","","","","False","False"
"","1","Informational","False","","","False","2026-06-04 오후 7:07:12","DLP2252-D-Monitor Netops to Generative AI sites","1","KWTEST\whdud","User75718350","KWTEST","Mach4263542","","msedge.exe","4","Network Operation","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","0","0","7","60382","443","chatgpt.com","172.64.155.209","False","7","","","7","","","","","None","None","HTTP","Outbound","","0","0 KB","","","","","","","","0","0","http://chatgpt.com/backend-api/sentinel/ping?","127.0.0.1","","","","","","","","","False","False","0","False","","","False","False","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"","1","Informational","False","","","False","2026-06-04 오후 7:05:39","DLP2252-D-Monitor Netops to Generative AI sites","1","KWTEST\whdud","User75718350","KWTEST","Mach4263542","","msedge.exe","4","Network Operation","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","0","0","7","60382","443","chatgpt.com","172.64.155.209","False","7","","","7","","","","","None","None","HTTP","Outbound","","0","0 KB","","","","","","","","0","0","http://chatgpt.com/ces/v1/m?","127.0.0.1","","","","","","","","","False","False","0","False","","","False","False","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"","1","Informational","False","","","False","2026-06-04 오후 7:05:18","DLP2252-D-Monitor Netops to Generative AI sites","1","KWTEST\whdud","User75718350","KWTEST","Mach4263542","","msedge.exe","4","Network Operation","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","0","0","7","60382","443","chatgpt.com","172.64.155.209","False","7","","","7","","","","","None","None","HTTP","Outbound","","0","0 KB","","","","","","","","0","0","http://chatgpt.com/backend-api/sentinel/ping?","127.0.0.1","","","","","","","","","False","False","0","False","","","False","False","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"","1","Informational","False","","","False","2026-06-04 오후 7:05:08","DLP2252-D-Monitor Netops to Generative AI sites","1","KWTEST\whdud","User75718350","KWTEST","Mach4263542","","msedge.exe","4","Network Operation","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","0","0","7","60382","443","chatgpt.com","172.64.155.209","False","7","","","7","","","","","None","None","HTTP","Outbound","","0","0 KB","","","","","","","","0","0","http://chatgpt.com/ces/v1/telemetry/intake?ddforward=%2fapi%2fv2%2flogs%3fddsource%3dbrowser%26dd-api-key%3dpub1f79f8ac903a5872ae5f53026d20a77c%26dd-evp-origin-version%3d6.22.0%26dd-evp-origin%3dbrowser%26dd-request-id%3d5715c005-a25b-49db-824f-af87c4f81e7d","127.0.0.1","","","","","","","","","False","False","0","False","","","False","False","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"","1","Informational","False","","","False","2026-06-04 오후 7:05:05","DLP2252-D-Monitor Netops to Generative AI sites","1","KWTEST\whdud","User75718350","KWTEST","Mach4263542","","msedge.exe","4","Network Operation","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","0","0","7","60382","443","chatgpt.com","172.64.155.209","False","7","","","7","","","","","None","None","HTTP","Outbound","","0","0 KB","","","","","","","","0","0","http://chatgpt.com/ces/v1/rgstr?k=client-nb0qtylzuy2tcmn5s5ncnuibcjncjrvit0izfm7gqst&st=javascript-client&sv=3.32.6&t=1780567505179&sid=3977c925-4b13-4f91-84c9-92663a1fbe22&ec=48&gz=1","127.0.0.1","","","","","","","","","False","False","0","False","","","False","False","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"","1","Informational","False","","","False","2026-06-04 오후 7:05:02","DLP2250-D-DNS queries for Generative AI sites","1","KWTEST\whdud","User75718350","KWTEST","Mach4263542","","msedge.exe","56","Network Operation Ex","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","0","0","8","58212","53","dns.google","8.8.8.8","False","7","","","7","","","","","None","None","DNS","Outbound","6","0","0 KB","","","","","","","","0","0","","172.16.1.17","","","","","6","Delete","","","False","False","0","False","","","False","False","","","","","","Query Value","","","","","","False","False","False","False","chatgpt.com","","","","","","","False","False"
"","1","Informational","False","","","False","2026-06-04 오후 7:05:01","DLP2252-D-Monitor Netops to Generative AI sites","1","KWTEST\whdud","User75718350","KWTEST","Mach4263542","","msedge.exe","4","Network Operation","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","0","0","7","60382","443","chatgpt.com","172.64.155.209","False","7","","","7","","","","","None","None","HTTP","Outbound","","0","0 KB","","","","","","","","0","0","http://chatgpt.com/backend-api/sentinel/sdk.js?","127.0.0.1","","","","","","","","","False","False","0","False","","","False","False","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"","1","Informational","False","","","False","2026-06-04 오후 7:04:58","DLP2252-D-Monitor Netops to Generative AI sites","1","KWTEST\whdud","User75718350","KWTEST","Mach4263542","","msedge.exe","4","Network Operation","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","0","0","7","60382","443","chatgpt.com","172.64.155.209","False","7","","","7","","","","","None","None","HTTP","Outbound","","0","0 KB","","","","","","","","0","0","http://chatgpt.com/backend-api/f/conversation/prepare?","127.0.0.1","","","","","","","","","False","False","0","False","","","False","False","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"","3","Medium","False","","","False","2026-06-04 오후 7:04:55","DLP0250-D-ADE to Generative AI sites","1","KWTEST\whdud","User75718350","KWTEST","Mach4263542","","msedge.exe","21","ADE Paste","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","0","0","","","","","","False","7","chrome legacy window","Unsaved Document","0","","","","","Unknown","None","","Inbound","","0","0 KB","","","","0","","0","","0","0","","","","","","","","","","","False","False","0","False","","","False","False","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"","1","Informational","False","","","False","2026-06-04 오후 7:04:54","DLP2252-D-Monitor Netops to Generative AI sites","1","KWTEST\whdud","User75718350","KWTEST","Mach4263542","","msedge.exe","4","Network Operation","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","0","0","7","60382","443","chatgpt.com","172.64.155.209","False","7","","","7","","","","","None","None","HTTP","Outbound","","0","0 KB","","","","","","","","0","0","http://chatgpt.com/ces/v1/telemetry/intake?ddsource=csp-report&dd-api-key=dummy-token","127.0.0.1","","","","","","","","","False","False","0","False","","","False","False","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"","1","Informational","False","","","False","2026-06-04 오후 7:04:46","DLP2252-D-Monitor Netops to Generative AI sites","1","KWTEST\whdud","User75718350","KWTEST","Mach4263542","","msedge.exe","4","Network Operation","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","0","0","7","60382","443","chatgpt.com","172.64.155.209","False","7","","","7","","","","","None","None","HTTP","Outbound","","0","0 KB","","","","","","","","0","0","http://chatgpt.com/backend-api/memories?exclusive_to_gizmo=false&include_memory_entries=false","127.0.0.1","","","","","","","","","False","False","0","False","","","False","False","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"","1","Informational","False","","","False","2026-06-04 오후 7:04:39","DLP2252-D-Monitor Netops to Generative AI sites","1","KWTEST\whdud","User75718350","KWTEST","Mach4263542","","msedge.exe","4","Network Operation","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","0","0","7","60382","443","chatgpt.com","172.64.155.209","False","7","","","7","","","","","None","None","HTTP","Outbound","","0","0 KB","","","","","","","","0","0","http://chatgpt.com/ces/v1/rgstr?k=client-nb0qtylzuy2tcmn5s5ncnuibcjncjrvit0izfm7gqst&st=javascript-client&sv=3.32.6&t=1780567479856&sid=3977c925-4b13-4f91-84c9-92663a1fbe22&ec=187&gz=1","127.0.0.1","","","","","","","","","False","False","0","False","","","False","False","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"","3","Medium","False","","","False","2026-06-04 오후 7:04:39","DLP2253-D-NTU to Generative AI sites","1","KWTEST\whdud","User75718350","KWTEST","Mach4263542","","msedge.exe","3","Network Transfer Upload","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","84","84","7","49676","443","sdmntprseasia.oaiusercontent.com","172.64.144.52","False","4","testtest.txt","https://sdmntprseasia.oaiusercontent.com/","3","testtest.txt","c:\users\whdud\downloads\","","testtest.txt","Fixed","Remote","HTTP","Outbound","","84","1 KB","","","","0","","0","","0","0","","127.0.0.1","","","","","","","","","False","False","0","False","","","False","False","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"","1","Informational","False","","","False","2026-06-04 오후 7:04:38","DLP2250-D-DNS queries for Generative AI sites","1","KWTEST\whdud","User75718350","KWTEST","Mach4263542","","msedge.exe","56","Network Operation Ex","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","0","0","8","59879","53","dns.google","8.8.8.8","False","7","","","7","","","","","None","None","DNS","Outbound","6","0","0 KB","","","","","","","","0","0","","172.16.1.17","","","","","6","Delete","","","False","False","0","False","","","False","False","","","","","","Query Value","","","","","","False","False","False","False","ws.chatgpt.com","","","","","","","False","False"
"","1","Informational","False","","","False","2026-06-04 오후 7:04:38","DLP2250-D-DNS queries for Generative AI sites","1","KWTEST\whdud","User75718350","KWTEST","Mach4263542","","msedge.exe","56","Network Operation Ex","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","0","0","8","54273","53","dns.google","8.8.8.8","False","7","","","7","","","","","None","None","DNS","Outbound","6","0","0 KB","","","","","","","","0","0","","172.16.1.17","","","","","6","Delete","","","False","False","0","False","","","False","False","","","","","","Query Value","","","","","","False","False","False","False","sdmntprseasia.oaiusercontent.com","","","","","","","False","False"
"","1","Informational","False","","","False","2026-06-04 오후 7:04:36","DLP2252-D-Monitor Netops to Generative AI sites","1","KWTEST\whdud","User75718350","KWTEST","Mach4263542","","msedge.exe","4","Network Operation","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","0","0","7","60382","443","chatgpt.com","172.64.155.209","False","7","","","7","","","","","None","None","HTTP","Outbound","","0","0 KB","","","","","","","","0","0","http://chatgpt.com/?file_upload_carryover=1","127.0.0.1","","","","","","","","","False","False","0","False","","","False","False","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
