"RESOLUTION_USER_NAME","ALARM_LEVEL","ALARM_LEVEL_TEXT","ALERT_RESOLUTION_STATUS","ALERT_RESOLUTION_CODE_TEXT","RESOLUTION_TEXT","ALERT_BLOCKED","ALERT_LOCAL_DTTM","RULE_NAME","RULE_ACTION_TYPE","ALERT_USER_NAME","OBFUSCATED_USER_NAME","ALERT_MACHINE_NAME","OBFUSCATED_MACHINE_NAME","USER_RESPONSE","PROCESS_NAME","EVENT_TYPE","EVENT_NAME","MAIL_SUBJECT","SENDER_EMAIL_ADDRESS","BLOCK_CODE","BLOCK_CODE_NAME","SURVEY_SELECTION","IS_EXPEDITED","VALUE_STATUS","VALUE_STATUS_TEXT","SCANS","POSITIVE_SCANS","POSITIVE_SCANS_PERCENT","HAS_CUSTOMDATA","EVENT_DISPLAY","IS_NET_DEVICE","BYTES_READ","BYTES_WRITTEN","PROTOCOL_TYPE","LOCAL_PORT","REMOTE_PORT","DNS_HOSTNAME","NETWORK_ADDRESS","DEST_REMOVABLE","DEST_DRIVE_TYPE","DEST_FILE_NAME","DEST_FILE_DIRECTORY","SRC_DRIVE_TYPE","SRC_FILE_NAME","SRC_FILE_DIRECTORY","PRINTER_NAME","PRINTER_JOBNAME","SRC_DRIVE_NAME","DEST_DRIVE_NAME","PROTOCOL_NAME","OUTBOUND_NAME","EVENT_SUBTYPE","FILE_SIZE","FILE_SIZE_KB","RECIPIENT_EMAIL_ADDRESS","RECIPIENT_TYPE","RECIPIENT_TYPE_NAME","SRC_FILE_ENCRYPTION","SRC_ENCRYPTION_NAME","DEST_FILE_ENCRYPTION","DEST_ENCRYPTION_NAME","HAS_SRC_CLASSIFICATION","HAS_DEST_CLASSIFICATION","URL_PATH","SRC_NETWORK_ADDRESS","SRC_DNS_HOSTNAME","ADE_OBJECT_TYPE","DR_PRODUCT_TYPE","DR_PRODUCT_NAME","DR_EVENT_TYPE","DR_EVENT_NAME","DR_USER_NAME","DR_SERVER_NAME","WAS_SRC_FILE_CAPTURED","WAS_DEST_FILE_CAPTURED","WAS_SCREEN_CAPTURED","WAS_PKI_AUTH","GID","EMAIL_ADDRESS","WAS_SMIME_ENCRYPTED","WAS_SMIME_SIGNED","DEVICE_TYPE","REG_SRC_PATH","REG_DEST_PATH","REG_VALUE_TYPE","REG_VALUE","REG_VALUE_NAME","REG_EVENT_NAME","HOOKED_MODULE_NAME","HOOKED_FUNCTION_NAME","HOOKED_OWNER_MODULE","HOOKED_ADDRESS","WAS_DLL_LOADED_RT","WAS_DLL_LOADED_AI","WAS_DLL_LOADED_UI","WAS_DLL_LOADED_RF","DNS_QUESTION","SRC_CLASS_POLICIES","DEST_CLASS_POLICIES","SRC_CLASS_RULES","DEST_CLASS_RULES","SRC_CLASS_TAGS","DEST_CLASS_TAGS","HAS_SRC_SAMPLE_MATCH","HAS_DEST_SAMPLE_MATCH"
"","1","Informational","False","","","False","2026-06-04 오후 7:04:33","DLP2252-D-Monitor Netops to Generative AI sites","1","KWTEST\whdud","User75718350","KWTEST","Mach4263542","","msedge.exe","4","Network Operation","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","0","0","7","60382","443","chatgpt.com","172.64.155.209","False","7","","","7","","","","","None","None","HTTP","Outbound","","0","0 KB","","","","","","","","0","0","http://chatgpt.com/api/auth/callback/openai?code=ac_6geo3b4vvzda8cfhxbbr8sj6dg4qqm2mpyrsg5atz2g.cc2elxsvgycuny3igx6bsmk-rcxjfjkbbjh6ivbjiwu&scope=openid+email+profile+offline_access+model.request+model.read+organization.read+organization.write&state=yo2zciy29m4tatcsneam_xj8s1110gpbmqwya-e5xi0","127.0.0.1","","","","","","","","","False","False","0","False","","","False","False","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"","1","Informational","False","","","False","2026-06-04 오후 7:04:32","DLP2250-D-DNS queries for Generative AI sites","1","KWTEST\whdud","User75718350","KWTEST","Mach4263542","","msedge.exe","56","Network Operation Ex","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","0","0","8","51954","53","dns.google","8.8.8.8","False","7","","","7","","","","","None","None","DNS","Outbound","6","0","0 KB","","","","","","","","0","0","","172.16.1.17","","","","","6","Delete","","","False","False","0","False","","","False","False","","","","","","Query Value","","","","","","False","False","False","False","auth.openai.com","","","","","","","False","False"
"","1","Informational","False","","","False","2026-06-04 오후 7:03:36","DLP2250-D-DNS queries for Generative AI sites","1","KWTEST\whdud","User75718350","KWTEST","Mach4263542","","msedge.exe","56","Network Operation Ex","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","0","0","8","49941","53","","8.8.8.8","False","7","","","7","","","","","None","None","DNS","Outbound","6","0","0 KB","","","","","","","","0","0","","172.16.1.17","","","","","6","Delete","","","False","False","0","False","","","False","False","","","","","","Query Value","","","","","","False","False","False","False","chatgpt.com","","","","","","","False","False"
"","1","Informational","False","","","False","2026-06-04 오후 7:03:36","DLP2252-D-Monitor Netops to Generative AI sites","1","KWTEST\whdud","User75718350","KWTEST","Mach4263542","","msedge.exe","4","Network Operation","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","0","0","7","60382","443","chatgpt.com","172.64.155.209","False","7","","","7","","","","","None","None","HTTP","Outbound","","0","0 KB","","","","","","","","0","0","http://chatgpt.com/ces/v1/rgstr?k=client-nb0qtylzuy2tcmn5s5ncnuibcjncjrvit0izfm7gqst&st=javascript-client&sv=3.32.6&t=1780567416112&sid=d96c7aea-acbe-4aa2-9ac9-993b1afc619a&ec=1&gz=1","127.0.0.1","","","","","","","","","False","False","0","False","","","False","False","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"","1","Informational","False","","","False","2026-06-04 오후 7:03:31","DLP2252-D-Monitor Netops to Generative AI sites","1","KWTEST\whdud","User75718350","KWTEST","Mach4263542","","msedge.exe","4","Network Operation","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","0","0","7","60382","443","chatgpt.com","172.64.155.209","False","7","","","7","","","","","None","None","HTTP","Outbound","","0","0 KB","","","","","","","","0","0","http://chatgpt.com/cdn/assets/2ad2fb76-iekks93vp3fsm5mm.js?","127.0.0.1","","","","","","","","","False","False","0","False","","","False","False","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"","3","Medium","False","","","False","2026-06-04 오후 7:03:31","DLP0250-D-ADE to Generative AI sites","1","KWTEST\whdud","User75718350","KWTEST","Mach4263542","","msedge.exe","21","ADE Paste","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","0","0","","","","","","False","7","chrome legacy window","Unsaved Document","0","","","","","Unknown","None","","Inbound","","0","0 KB","","","","0","","0","","0","0","","","","","","","","","","","False","False","0","False","","","False","False","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"","1","Informational","False","","","False","2026-06-04 오후 7:03:20","DLP2252-D-Monitor Netops to Generative AI sites","1","KWTEST\whdud","User75718350","KWTEST","Mach4263542","","explorer.exe","4","Network Operation","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","0","0","1","62609","443","substrate.office.com","52.98.46.194","False","7","","","7","","","","","None","None","TCP","Outbound","","0","0 KB","","","","","","","","0","0","","172.16.1.17","","","","","","","","","False","False","0","False","","","False","False","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"","1","Informational","False","","","False","2026-06-04 오후 7:03:20","DLP2250-D-DNS queries for Generative AI sites","1","NT AUTHORITY\NETWORK SERVICE","User88189044","KWTEST","Mach4263542","","svchost.exe","56","Network Operation Ex","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","0","0","8","59985","53","dns.google","8.8.8.8","False","7","","","7","","","","","None","None","DNS","Outbound","6","0","0 KB","","","","","","","","0","0","","172.16.1.17","","","","","6","Delete","","","False","False","0","False","","","False","False","","","","","","Query Value","","","","","","False","False","False","False","substrate.office.com","","","","","","","False","False"
"","1","Informational","False","","","False","2026-06-04 오후 7:01:50","DLP2252-D-Monitor Netops to Generative AI sites","1","KWTEST\whdud","User75718350","KWTEST","Mach4263542","","msedge.exe","4","Network Operation","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","0","0","7","60382","443","chatgpt.com","172.64.155.209","False","7","","","7","","","","","None","None","HTTP","Outbound","","0","0 KB","","","","","","","","0","0","http://chatgpt.com/backend-anon/sentinel/ping?","127.0.0.1","","","","","","","","","False","False","0","False","","","False","False","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"","1","Informational","False","","","False","2026-06-04 오후 6:59:42","DLP2252-D-Monitor Netops to Generative AI sites","1","KWTEST\whdud","User75718350","KWTEST","Mach4263542","","msedge.exe","4","Network Operation","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","0","0","7","60382","443","chatgpt.com","172.64.155.209","False","7","","","7","","","","","None","None","HTTP","Outbound","","0","0 KB","","","","","","","","0","0","http://chatgpt.com/backend-anon/sentinel/ping?","127.0.0.1","","","","","","","","","False","False","0","False","","","False","False","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"","1","Informational","False","","","False","2026-06-04 오후 6:59:42","DLP2250-D-DNS queries for Generative AI sites","1","KWTEST\whdud","User75718350","KWTEST","Mach4263542","","msedge.exe","56","Network Operation Ex","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","0","0","8","51837","53","","8.8.8.8","False","7","","","7","","","","","None","None","DNS","Outbound","6","0","0 KB","","","","","","","","0","0","","172.16.1.17","","","","","6","Delete","","","False","False","0","False","","","False","False","","","","","","Query Value","","","","","","False","False","False","False","chatgpt.com","","","","","","","False","False"
"","1","Informational","False","","","False","2026-06-04 오후 6:57:48","DLP2252-D-Monitor Netops to Generative AI sites","1","KWTEST\whdud","User75718350","KWTEST","Mach4263542","","msedge.exe","4","Network Operation","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","0","0","7","60382","443","chatgpt.com","172.64.155.209","False","7","","","7","","","","","None","None","HTTP","Outbound","","0","0 KB","","","","","","","","0","0","http://chatgpt.com/ces/v1/telemetry/intake?ddforward=%2fapi%2fv2%2flogs%3fddsource%3dbrowser%26dd-api-key%3dpub1f79f8ac903a5872ae5f53026d20a77c%26dd-evp-origin-version%3d6.22.0%26dd-evp-origin%3dbrowser%26dd-request-id%3d86adfc43-df1d-4ce5-9fe6-5327bdcc7c47","127.0.0.1","","","","","","","","","False","False","0","False","","","False","False","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"","1","Informational","False","","","False","2026-06-04 오후 6:57:44","DLP2252-D-Monitor Netops to Generative AI sites","1","KWTEST\whdud","User75718350","KWTEST","Mach4263542","","msedge.exe","4","Network Operation","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","0","0","7","60382","443","chatgpt.com","172.64.155.209","False","7","","","7","","","","","None","None","HTTP","Outbound","","0","0 KB","","","","","","","","0","0","http://chatgpt.com/ces/v1/m?","127.0.0.1","","","","","","","","","False","False","0","False","","","False","False","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"","1","Informational","False","","","False","2026-06-04 오후 6:57:40","DLP2252-D-Monitor Netops to Generative AI sites","1","KWTEST\whdud","User75718350","KWTEST","Mach4263542","","msedge.exe","4","Network Operation","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","0","0","7","60382","443","chatgpt.com","172.64.155.209","False","7","","","7","","","","","None","None","HTTP","Outbound","","0","0 KB","","","","","","","","0","0","http://chatgpt.com/backend-anon/sentinel/ping?","127.0.0.1","","","","","","","","","False","False","0","False","","","False","False","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"","1","Informational","False","","","False","2026-06-04 오후 6:57:32","DLP2250-D-DNS queries for Generative AI sites","1","KWTEST\whdud","User75718350","KWTEST","Mach4263542","","msedge.exe","56","Network Operation Ex","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","0","0","8","50020","53","dns.google","8.8.8.8","False","7","","","7","","","","","None","None","DNS","Outbound","6","0","0 KB","","","","","","","","0","0","","172.16.1.17","","","","","6","Delete","","","False","False","0","False","","","False","False","","","","","","Query Value","","","","","","False","False","False","False","chatgpt.com","","","","","","","False","False"
"","1","Informational","False","","","False","2026-06-04 오후 6:57:32","DLP2252-D-Monitor Netops to Generative AI sites","1","KWTEST\whdud","User75718350","KWTEST","Mach4263542","","msedge.exe","4","Network Operation","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","0","0","7","60382","443","chatgpt.com","172.64.155.209","False","7","","","7","","","","","None","None","HTTP","Outbound","","0","0 KB","","","","","","","","0","0","http://chatgpt.com/backend-api/sentinel/sdk.js?","127.0.0.1","","","","","","","","","False","False","0","False","","","False","False","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"","1","Informational","False","","","False","2026-06-04 오후 6:57:25","DLP2252-D-Monitor Netops to Generative AI sites","1","KWTEST\whdud","User75718350","KWTEST","Mach4263542","","msedge.exe","4","Network Operation","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","0","0","7","60382","443","chatgpt.com","172.64.155.209","False","7","","","7","","","","","None","None","HTTP","Outbound","","0","0 KB","","","","","","","","0","0","http://chatgpt.com/backend-anon/files/download/file-tr2hboxwrieetvwjtp6xz3?","127.0.0.1","","","","","","","","","False","False","0","False","","","False","False","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"","1","Informational","False","","","False","2026-06-04 오후 6:57:23","DLP2250-D-DNS queries for Generative AI sites","1","KWTEST\whdud","User75718350","KWTEST","Mach4263542","","msedge.exe","56","Network Operation Ex","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","0","0","8","57654","53","dns.google","8.8.8.8","False","7","","","7","","","","","None","None","DNS","Outbound","6","0","0 KB","","","","","","","","0","0","","172.16.1.17","","","","","6","Delete","","","False","False","0","False","","","False","False","","","","","","Query Value","","","","","","False","False","False","False","files09.oaiusercontent.com","","","","","","","False","False"
"","3","Medium","False","","","False","2026-06-04 오후 6:57:22","DLP0250-D-ADE to Generative AI sites","1","KWTEST\whdud","User75718350","KWTEST","Mach4263542","","msedge.exe","21","ADE Paste","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","0","0","","","","","","False","4","chatgpt.com","https://","0","","","","","Unknown","Remote","","Inbound","","0","0 KB","","","","0","","0","","0","0","","","","","","","","","","","False","False","0","False","","","False","False","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"","1","Informational","False","","","False","2026-06-04 오후 6:57:12","DLP2252-D-Monitor Netops to Generative AI sites","1","KWTEST\whdud","User75718350","KWTEST","Mach4263542","","msedge.exe","4","Network Operation","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","0","0","7","60382","443","chatgpt.com","172.64.155.209","False","7","","","7","","","","","None","None","HTTP","Outbound","","0","0 KB","","","","","","","","0","0","http://chatgpt.com/cdn/assets/639d2afb-abkzsl96h2akmubo.js?","127.0.0.1","","","","","","","","","False","False","0","False","","","False","False","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"","1","Informational","False","","","False","2026-06-04 오후 6:56:14","DLP2252-D-Monitor Netops to Generative AI sites","1","KWTEST\whdud","User75718350","KWTEST","Mach4263542","","msedge.exe","4","Network Operation","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","0","0","7","60382","443","chatgpt.com","172.64.155.209","False","7","","","7","","","","","None","None","HTTP","Outbound","","0","0 KB","","","","","","","","0","0","http://chatgpt.com/ces/v1/rgstr?k=client-nb0qtylzuy2tcmn5s5ncnuibcjncjrvit0izfm7gqst&st=javascript-client&sv=3.32.6&t=1780566974444&sid=d96c7aea-acbe-4aa2-9ac9-993b1afc619a&ec=10&gz=1","127.0.0.1","","","","","","","","","False","False","0","False","","","False","False","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"","1","Informational","False","","","False","2026-06-04 오후 6:55:54","DLP2252-D-Monitor Netops to Generative AI sites","1","KWTEST\whdud","User75718350","KWTEST","Mach4263542","","msedge.exe","4","Network Operation","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","0","0","7","60382","443","chatgpt.com","172.64.155.209","False","7","","","7","","","","","None","None","HTTP","Outbound","","0","0 KB","","","","","","","","0","0","http://chatgpt.com/ces/v1/telemetry/intake?ddsource=csp-report&dd-api-key=dummy-token","127.0.0.1","","","","","","","","","False","False","0","False","","","False","False","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"","1","Informational","False","","","False","2026-06-04 오후 6:55:12","DLP2252-D-Monitor Netops to Generative AI sites","1","KWTEST\whdud","User75718350","KWTEST","Mach4263542","","msedge.exe","4","Network Operation","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","0","0","7","60382","443","chatgpt.com","172.64.155.209","False","7","","","7","","","","","None","None","HTTP","Outbound","","0","0 KB","","","","","","","","0","0","http://chatgpt.com/?","127.0.0.1","","","","","","","","","False","False","0","False","","","False","False","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"","1","Informational","False","","","False","2026-06-04 오후 6:55:12","DLP2250-D-DNS queries for Generative AI sites","1","KWTEST\whdud","User75718350","KWTEST","Mach4263542","","msedge.exe","56","Network Operation Ex","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","0","0","8","61229","53","dns.google","8.8.8.8","False","7","","","7","","","","","None","None","DNS","Outbound","6","0","0 KB","","","","","","","","0","0","","172.16.1.17","","","","","6","Delete","","","False","False","0","False","","","False","False","","","","","","Query Value","","","","","","False","False","False","False","cdn.openai.com","","","","","","","False","False"
"","3","Medium","False","","","True","2026-06-04 오후 6:09:18","Apple 기기 파일 업로드 차단","2","DESKTOP-5N4PK8B\jbjeong_DH","User90744420","DESKTOP-5N4PK8B","Mach31942949","","ampdevicesagent.exe","15","File Read","","","1","Rule Block","0","False","3","No Data","","","","False","","False","72192","0","","","","","","True","7","","","3","내 담당사이트.xlsx","c:\users\1\desktop\","","내 담당사이트.xlsx","Fixed","None","","Inbound","","72192","71 KB","","","","0","","0","","1","0","","","","","","","","","","","False","False","0","False","","","False","False","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"","3","Medium","False","","","False","2026-06-04 오후 6:04:13","Apple 기기 파일 업로드 로깅","1","DESKTOP-5N4PK8B\jbjeong_DH","User90744420","DESKTOP-5N4PK8B","Mach31942949","","ampdevicesagent.exe","15","File Read","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","2097152","0","","","","","","True","7","","","3","영구태그 c등급 파일 테스트 - 복사본.txt","c:\users\1\desktop\","","영구태그 c등급 파일 테스트 - 복사본.txt","Fixed","None","","Inbound","","2960544","2892 KB","","","","0","","0","","1","0","","","","","","","","","","","False","False","0","False","","","False","False","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
"","3","Medium","False","","","False","2026-06-04 오후 6:03:44","Apple 기기 파일 업로드 로깅","1","DESKTOP-5N4PK8B\jbjeong_DH","User90744420","DESKTOP-5N4PK8B","Mach31942949","","ampdevicesagent.exe","15","File Read","","","0","Not Blocked","0","False","3","No Data","","","","False","","False","2097152","0","","","","","","True","7","","","3","endpoint_technical_support_guidebook_windows.pdf","c:\users\1\desktop\","","endpoint_technical_support_guidebook_windows.pdf","Fixed","None","","Inbound","","3363791","3285 KB","","","","0","","0","","0","0","","","","","","","","","","","False","False","0","False","","","False","False","","","","","","","","","","","","False","False","False","False","","","","","","","","False","False"
